Name,DG_Year,DG_Amount,Publications_6Yrs,Citations_6Yrs
"Buhr, Peter",2008,30000.0,7,150
"Buhr, Peter",2013,19000.0,5,150
"Bulatov, Andrei",2010,43000.0,27,2212
"Bulatov, Andrei",2011,43000.0,29,2191
"Bulatov, Andrei",2009,30000.0,27,2567
"Bulatov, Andrei",2008,30000.0,26,2475
"Bulatov, Andrei",2013,43000.0,30,983
"Bulatov, Andrei",2014,43000.0,31,831
"Bulatov, Andrei",2012,43000.0,31,1517
"Bulatov, Andrei",2022,64000.0,33,587
"Bulatov, Andrei",2023,64000.0,27,543
"Bulatov, Andrei",2021,64000.0,28,577
"Bulatov, Andrei",2020,64000.0,26,595
"Bulitko, Vadim",2020,41000.0,36,316
"Bulitko, Vadim",2019,41000.0,32,286
"Bulitko, Vadim",2018,39000.0,33,624
"Bulitko, Vadim",2017,39000.0,39,890
"Bulitko, Vadim",2022,41000.0,40,300
"Bulitko, Vadim",2023,82000.0,40,281
"Bulitko, Vadim",2016,39000.0,45,992
"Bulitko, Vadim",2015,39000.0,48,1041
"Bulitko, Vadim",2014,39000.0,50,1212
"Bulitko, Vadim",2021,41000.0,28,252
"Bunt, Andrea",2017,29000.0,26,546
"Bunt, Andrea",2015,29000.0,22,532
"Bunt, Andrea",2016,29000.0,25,567
"Bunt, Andrea",2019,29000.0,30,518
"Bunt, Andrea",2018,29000.0,28,630
"Burkowski, Forbes",2016,22000.0,14,64
"Burkowski, Forbes",2021,22000.0,8,25
"Burkowski, Forbes",2017,22000.0,16,66
"Burkowski, Forbes",2018,22000.0,15,52
"Burkowski, Forbes",2020,22000.0,14,52
"Burkowski, Forbes",2019,22000.0,15,52
"Burns, Catherine",2009,26000.0,37,1319
"Burns, Catherine",2008,26000.0,38,1018
"Burns, Catherine",2011,26000.0,35,687
"Burns, Catherine",2012,26000.0,37,629
"Burns, Catherine",2010,26000.0,36,1283
"Buro, Michael",2021,41000.0,21,311
"Buro, Michael",2017,20000.0,28,874
"Buro, Michael",2016,17000.0,26,941
"Buro, Michael",2014,17000.0,21,878
"Buro, Michael",2013,17000.0,20,713
"Buro, Michael",2022,82000.0,27,358
"Buro, Michael",2015,17000.0,26,967
"Buro, Michael",2018,41000.0,31,865
"Buro, Michael",2019,41000.0,27,609
"Buro, Michael",2020,41000.0,25,410
"Buro, Michael",2012,17000.0,16,668
"Campeanu, Cezar",2009,10000.0,23,210
"Campeanu, Cezar",2008,10000.0,28,328
"Campeanu, Cezar",2010,10000.0,23,130
"Campeanu, Cezar",2012,10000.0,12,61
"Campeanu, Cezar",2011,10000.0,15,78
"Caporossi, Gilles",2016,22000.0,38,510
"Caporossi, Gilles",2015,22000.0,36,593
"Caporossi, Gilles",2019,22000.0,39,156
"Caporossi, Gilles",2018,22000.0,40,181
"Caporossi, Gilles",2017,22000.0,42,381
"Capretz, Luiz",2017,20000.0,126,133
"Capretz, Miriam",2016,20000.0,62,1588
"Capretz, Miriam",2014,20000.0,62,903
"Capretz, Miriam",2013,20000.0,54,514
"Capretz, Miriam",2010,16000.0,28,243
"Capretz, Miriam",2012,20000.0,49,475
